ja,,,,,,,
Conversation ID,Entry ID,Actor,Original Text,Translated Text [ja],Original Menu,Translated Menu [ja],Description
1,0,Player,,,,,
1,1,Player,#NAME?,,,,
1,2,Player,#NAME?,,,,
1,3,Player,#NAME?,,,,
1,4,Player,- ......한참 다가왔다,,,,
1,5,Player,#NAME?,,,,
1,6,Player,#NAME?,,,,
1,7,Player,#NAME?,,,,
1,8,Fafnir,왜 이리 멀어!,,,,
2,0,Not Assigned,,,,,
2,4,Janghwa,......,……,,,
2,5,Chona,......,……,,,
2,6,Fafnir,......\n,……,,,
2,7,Fafnir,너희가 왜 거기 있어?,なんでお前たちがいるの？,,,
2,8,Chona,"오랜만이야, 배터리",久しぶりじゃん、電池。,,,
2,9,Fafnir,배터리라고 부르지 말랬지!,電池って呼ぶな！,,,
2,10,Janghwa,"못 보는 사이에 많이 컸다, 바보니르?",見ない間になんかデカくなった？バカニール？,,,
2,11,Fafnir,함부로 남의 이름 바꿔서 부르지 말라고! 그리고 키는 내가 너보다 더 커!,"失礼ね！他人を変なあだ名で呼ぶのはダメなのよ！
それに、元からあんたよりデカいわよ！ばか！",,,
2,12,Chona,저기 떠 있는 커다란 게 네 거야?,てかさ～、あの浮かんでるやつ、あんたの？,,,
2,13,Fafnir,"후후, 그래. 내 공중 요새 용의 둥지야.",ふふ！驚いた？ええ、そうよ！私の最強空中要塞“龍の巣”よ！,,,
2,14,Fafnir,너 같은 건 평생 노력해도 저런 건 못 구할 걸?,お前たちには一生かかっても手に入らないでしょ！どう？羨ましいでしょ？,,,
2,15,Chona,우.와.부.럽.다.,ワー、ウラヤマシー,,,
2,16,Chona,조금만 빌리자. 조금만 쓰고 돌려줄게.,ちょっと貸してよ。ちゃんと返すから。,,,
2,17,Fafnir,너 옛날에도 그 말 하고 나한테서 낙하산 빌려 갔다가 안 돌려주고 그냥 뛰어내렸잖아!,お前、昔もそうやって私のパラシュート使って脱出したことがあったでしょ！？,,,
2,18,Fafnir,나는 낙하산 없이 뛰어내리느라 죽을 뻔했다고!,おかげでパラシュートなしで飛び降りて死にかけたんだからね！,,,
2,19,Chona,"에이, 왜 그래. 친구끼리? 안 죽었으면 됐잖아.",そんなことで腹立ててんの？マイフレンド～。生きてるからいいじゃん。,,,
2,20,Fafnir,웃겨! 우리가 언제 친구였다고!,はぁ！？誰がマイフレンドよ！,,,
2,21,Janghwa,너 조금 마음에 안 든다? 네가 언제 우리랑 맞먹었냐?,つーかさ、何であんたアタシたちと対等に喋ってんのよ。,,,
2,22,Janghwa,그리고 좋은 건 이 언니한테 먼저 신고해야 하는 거 아냐?,ほら、先輩には敬語使いなさいよ。,,,
2,23,Player,#NAME?,"‐薔花もチョナもファフニールがオルカの一員じゃないから
こんなに扱いが雑なんだよね……？",,,
2,24,Player,#NAME?,‐だよね？,,,
2,25,Janghwa,"야, 그냥 빌려주는 게 몇 대 맞고 빌려주는 것보다 낫지 않냐? 우리는 어느 쪽이든 상관없지만.","まぁ、アタシはどっちでもいいけど？ボコってどっちが上か
解らせればいいんだから。",,,
2,26,Player,- ......나중에 알렉산드라에게 예절교실 열어달라고 말하자.,‐……あとでアレクサンドラにマナー教室を開くように言っておこう。,,,
